pokemon1,pokemon2,lvldif,a1,a2,a3,a4,b1,b2,b3,b4,win
jolteon,hitmonlee,-61,rock slide,thunder wave,amnesia,scratch,light screen,focus energy,hyper beam,crabhammer,false
gloom,beedrill,6,slash,supersonic,meditate,fire spin,smokescreen,blizzard,smokescreen,spore,true
porygon,koffing,-61,fury attack,wing attack,screech,fire punch,slam,vine whip,dragon rage,seismic toss,false
jolteon,wartortle,-47,constrict,withdraw,water gun,fury attack,soft-boiled,splash,double slap,ice beam,false
magmar,meowth,39,peck,take down,night shade,teleport,swords dance,tackle,skull bash,super fang,true
staryu,exeggcute,74,metronome,bubble,jump kick,toxic,thunder,hypnosis,rage,thunder shock,true
golbat,dragonite,-41,submission,rock throw,absorb,mega punch,thrash,mega drain,minimize,razor wind,false
raichu,meowth,32,growl,glare,mist,metronome,razor wind,explosion,light screen,withdraw,false
rhyhorn,wigglytuff,35,pound,spore,psybeam,meditate,razor leaf,thrash,haze,horn drill,true
ivysaur,starmie,-13,poison sting,psychic,skull bash,tackle,whirlwind,conversion,seismic toss,flamethrower,true
mr. mime,kabuto,-35,fire punch,leer,pin missile,self-destruct,mega drain,substitute,low kick,vice grip,false
seadra,bellsprout,19,flash,petal dance,kinesis,ember,scratch,dragon rage,quick attack,surf,true
dratini,nidorino,9,soft-boiled,bonemerang,harden,kinesis,razor wind,smokescreen,cut,fire blast,false
tentacool,magneton,60,ember,hyper fang,toxic,comet punch,dragon rage,kinesis,screech,aurora beam,true
ivysaur,psyduck,-6,water gun,psybeam,thunder,smog,teleport,transform,mega punch,acid,true
graveler,rattata,17,thunder wave,seismic toss,swift,smokescreen,flash,pay day,vine whip,confusion,true
kangaskhan,pidgey,-12,bind,conversion,vine whip,tri attack,growth,splash,slam,mega drain,true
parasect,parasect,-13,fire blast,recover,string shot,sleep powder,fire punch,recover,flash,fury attack,false
hitmonchan,sandshrew,-26,tail whip,confusion,meditate,thunder shock,seismic toss,water gun,smog,surf,false
snorlax,nidoking,40,smog,self-destruct,hydro pump,leer,fly,surf,dizzy punch,horn attack,true
scyther,hitmonlee,34,confuse ray,fly,splash,karate chop,sonic boom,leech seed,acid,submission,true
farfetch'd,hitmonlee,38,constrict,skull bash,fire blast,sonic boom,rock throw,constrict,sludge,rock throw,true
farfetch'd,seel,81,guillotine,gust,ice beam,slash,bonemerang,body slam,flash,haze,true
fearow,exeggutor,24,pin missile,fissure,bide,thrash,acid armor,supersonic,recover,mega punch,true
magikarp,snorlax,-18,glare,ice beam,minimize,smog,fire blast,rest,aurora beam,confusion,false
starmie,onix,-33,surf,recover,double slap,waterfall,hypnosis,headbutt,struggle,glare,false
slowbro,clefable,-56,seismic toss,mega kick,rolling kick,thunder wave,fury attack,dream eater,dizzy punch,vine whip,false
wigglytuff,arcanine,-22,flamethrower,thrash,guillotine,solar beam,withdraw,double team,defense curl,peck,false
jynx,clefairy,1,fissure,surf,low kick,light screen,comet punch,sing,horn attack,wing attack,true
pinsir,abra,22,dream eater,water gun,barrier,slash,stun spore,acid,fly,night shade,true
squirtle,goldeen,-20,bone club,ice beam,spike cannon,cut,sand attack,focus energy,body slam,tackle,false
poliwrath,seaking,52,acid,hyper beam,barrier,thrash,mega drain,guillotine,thunder punch,bind,true
pidgeot,charmeleon,38,pin missile,dizzy punch,bone club,acid armor,submission,withdraw,soft-boiled,struggle,true
magneton,weezing,-26,mega kick,bite,solar beam,screech,harden,flash,fury attack,dragon rage,false
rhydon,muk,-19,take down,poison sting,splash,barrage,karate chop,struggle,rock slide,double team,false
jigglypuff,porygon,-23,petal dance,aurora beam,struggle,sleep powder,psybeam,supersonic,explosion,transform,false
vulpix,krabby,19,pin missile,quick attack,psywave,low kick,ember,double kick,dig,tail whip,false
koffing,persian,2,recover,conversion,explosion,thunderbolt,pay day,petal dance,water gun,cut,false
slowpoke,krabby,12,pay day,tri attack,thunder punch,bind,smokescreen,screech,sharpen,slam,true
venomoth,victreebel,-34,quick attack,focus energy,blizzard,slam,barrage,crabhammer,poison gas,psywave,false
magneton,diglett,-28,ember,mimic,vine whip,blizzard,thunder shock,bonemerang,thunder,earthquake,false
paras,butterfree,-7,thunderbolt,fire blast,poison gas,mega punch,barrier,mega kick,twineedle,high jump kick,false
ponyta,jigglypuff,-35,waterfall,night shade,comet punch,lovely kiss,psychic,quick attack,pound,acid,false
parasect,nidoqueen,-66,comet punch,ice punch,spore,night shade,screech,agility,fissure,kinesis,false
magnemite,tentacool,-71,bone club,sand attack,razor leaf,dizzy punch,vine whip,seismic toss,slam,defense curl,false
weedle,moltres,6,egg bomb,jump kick,poison sting,thunderbolt,fury attack,petal dance,minimize,growl,false
kadabra,mankey,-33,smokescreen,flash,dragon rage,fire punch,bide,sky attack,cut,mimic,false
magneton,machop,-11,dream eater,spike cannon,whirlwind,glare,double-edge,mega kick,blizzard,petal dance,false
exeggutor,aerodactyl,20,dizzy punch,metronome,growl,constrict,clamp,bide,explosion,fire punch,true
ivysaur,mr. mime,10,spike cannon,ember,roar,thunderbolt,absorb,fury swipes,poison gas,minimize,true
pidgeot,meowth,59,headbutt,surf,jump kick,sharpen,explosion,sludge,razor wind,growth,true
arbok,persian,11,mega kick,hyper fang,pay day,acid,seismic toss,metronome,mega punch,sing,true
vulpix,poliwhirl,-46,barrier,horn drill,self-destruct,barrage,kinesis,drill peck,ice beam,skull bash,false
mankey,electrode,26,sonic boom,crabhammer,earthquake,disable,body slam,sharpen,submission,amnesia,true
poliwag,bellsprout,12,double-edge,pound,low kick,struggle,meditate,barrier,conversion,water gun,true
gastly,mr. mime,-69,lick,razor wind,struggle,growl,take down,acid,fire punch,bubble,false
parasect,golbat,-20,fire punch,egg bomb,quick attack,spike cannon,string shot,struggle,slash,thunder punch,false
parasect,kingler,-34,explosion,strength,conversion,sky attack,barrage,rolling kick,self-destruct,drill peck,false
onix,pinsir,-50,lovely kiss,double kick,night shade,submission,hyper fang,acid,sharpen,high jump kick,false
squirtle,pidgeotto,-45,minimize,mega kick,horn drill,smog,rest,high jump kick,harden,twineedle,false
nidorino,venomoth,6,stomp,recover,rock slide,defense curl,aurora beam,sludge,bone club,thunder punch,true
zapdos,seel,-60,surf,bite,mirror move,waterfall,bide,fly,spore,smokescreen,false
blastoise,oddish,18,soft-boiled,solar beam,psywave,meditate,fire blast,soft-boiled,pound,growl,true
chansey,exeggcute,-9,sludge,quick attack,double kick,rock slide,bubble beam,thunder wave,ice punch,toxic,false
zapdos,arbok,27,body slam,fissure,fly,conversion,tackle,growth,mega punch,amnesia,true
sandshrew,wartortle,-36,seismic toss,bone club,hypnosis,barrier,ember,teleport,smokescreen,bind,false
tentacruel,dodrio,29,slash,focus energy,high jump kick,haze,fury attack,submission,sleep powder,seismic toss,true
slowpoke,gastly,-28,counter,slam,bide,waterfall,twineedle,sharpen,smokescreen,rage,true
drowzee,caterpie,20,dragon rage,gust,fire punch,psychic,haze,double kick,pound,water gun,true
paras,moltres,-16,poison gas,ice punch,stomp,razor leaf,string shot,explosion,harden,mist,false
seaking,krabby,-7,sludge,quick attack,thunder wave,conversion,body slam,horn attack,poison gas,focus energy,false
tentacool,psyduck,-11,haze,night shade,struggle,psywave,double team,spike cannon,acid armor,smog,false
electabuzz,seaking,-24,meditate,toxic,explosion,guillotine,lovely kiss,glare,toxic,roar,true
fearow,chansey,-3,razor leaf,haze,poison powder,thunder wave,psywave,fire blast,wing attack,psybeam,false
nidoran♀,rattata,-65,waterfall,fire punch,comet punch,slam,ember,defense curl,submission,slash,false
kingler,aerodactyl,-8,focus energy,rock slide,pin missile,sky attack,vine whip,growth,leech seed,petal dance,true
lapras,pidgeot,-30,dizzy punch,razor wind,horn drill,fire blast,flamethrower,spike cannon,double kick,sing,false
chansey,beedrill,-29,rock slide,barrier,struggle,peck,super fang,sing,spore,sleep powder,true
pidgeot,marowak,10,fire spin,hypnosis,rock throw,psychic,bind,acid armor,double-edge,rolling kick,true
cloyster,ninetales,16,thunder,bone club,double team,defense curl,smokescreen,glare,thunder shock,metronome,true
porygon,ekans,63,minimize,bite,guillotine,pay day,night shade,mist,self-destruct,whirlwind,true
doduo,aerodactyl,13,string shot,dream eater,body slam,spore,mimic,cut,constrict,high jump kick,true
magnemite,voltorb,22,hyper fang,reflect,flamethrower,cut,hypnosis,double-edge,disable,surf,true
beedrill,scyther,-47,focus energy,water gun,acid,pound,horn drill,drill peck,poison sting,flash,false
seel,exeggcute,3,metronome,substitute,wing attack,bonemerang,psybeam,dig,karate chop,fury attack,false
rattata,nidorina,-68,acid armor,tail whip,guillotine,crabhammer,sand attack,spore,comet punch,screech,false
persian,seaking,30,psybeam,surf,ember,pin missile,transform,water gun,light screen,disable,true
nidoqueen,jolteon,-33,thunder punch,karate chop,light screen,dig,pin missile,body slam,mega drain,stomp,false
machop,farfetch'd,67,waterfall,thunder shock,psybeam,bind,sleep powder,lovely kiss,bind,blizzard,true
cloyster,squirtle,31,petal dance,bonemerang,metronome,super fang,take down,sharpen,flamethrower,jump kick,true
doduo,zapdos,-21,rolling kick,bite,defense curl,thrash,cut,bonemerang,spore,razor wind,false
magmar,geodude,-9,string shot,spore,crabhammer,sludge,drill peck,pin missile,razor leaf,pay day,false
charmander,geodude,6,dragon rage,bonemerang,bite,amnesia,explosion,thunder punch,aurora beam,thunder shock,false
psyduck,seel,21,stun spore,mimic,acid armor,horn attack,pay day,guillotine,amnesia,dig,false
magikarp,lapras,-20,tail whip,mirror move,mimic,withdraw,amnesia,egg bomb,psychic,dragon rage,false
zubat,pidgey,19,guillotine,self-destruct,scratch,scratch,struggle,leech seed,take down,super fang,true
hypno,horsea,35,absorb,thunderbolt,thunder wave,confusion,high jump kick,gust,tri attack,hydro pump,true
hypno,poliwhirl,62,hydro pump,guillotine,reflect,thunder punch,sleep powder,reflect,mimic,haze,true
aerodactyl,kangaskhan,-71,egg bomb,metronome,solar beam,rock slide,defense curl,pin missile,fire blast,poison powder,false
articuno,doduo,-40,lick,scratch,dream eater,fly,tackle,teleport,mega punch,fissure,false
clefable,dugtrio,20,scratch,explosion,vine whip,stun spore,dig,hypnosis,barrage,flamethrower,true
eevee,primeape,-12,rest,stun spore,super fang,tail whip,double kick,smog,haze,dragon rage,false
chansey,nidoqueen,57,skull bash,thunder shock,horn drill,dizzy punch,solar beam,quick attack,petal dance,smokescreen,true
omastar,weezing,34,pound,disable,mega punch,psybeam,swords dance,horn attack,bubble,slash,true
nidorino,nidoran♀,56,meditate,razor wind,spore,fire punch,swift,minimize,horn attack,counter,true
goldeen,tangela,30,thunder shock,counter,low kick,high jump kick,self-destruct,thunderbolt,pay day,jump kick,true
moltres,diglett,4,psychic,rage,metronome,submission,poison gas,pay day,growth,counter,true
poliwrath,machoke,-21,struggle,hydro pump,submission,soft-boiled,light screen,rolling kick,disable,harden,false
kabuto,primeape,-23,clamp,struggle,mega kick,super fang,pin missile,growl,karate chop,quick attack,false
ditto,wigglytuff,9,ice beam,swords dance,swords dance,mega drain,sleep powder,fire punch,drill peck,mirror move,false
starmie,machoke,-1,ember,confusion,mega drain,sludge,bind,toxic,bubble beam,absorb,true
gengar,electabuzz,25,confusion,dizzy punch,smog,dizzy punch,constrict,barrier,smog,karate chop,true
alakazam,koffing,-55,mimic,psywave,waterfall,petal dance,double kick,acid,sing,dragon rage,false
abra,shellder,33,horn attack,guillotine,bone club,sand attack,bubble beam,supersonic,agility,rage,true
farfetch'd,koffing,63,pay day,body slam,rock throw,counter,smokescreen,kinesis,double slap,skull bash,true
kabuto,articuno,20,sky attack,crabhammer,double kick,slam,bide,reflect,withdraw,hypnosis,true
scyther,magnemite,9,swift,leech life,jump kick,fury swipes,sing,scratch,thunder punch,submission,true
shellder,onix,83,twineedle,bubble,drill peck,acid armor,petal dance,comet punch,drill peck,thunder punch,true
tangela,ninetales,21,spike cannon,psychic,confusion,sing,hypnosis,harden,barrage,poison gas,true
weedle,beedrill,49,sleep powder,poison sting,barrier,double slap,leech life,substitute,skull bash,harden,true
beedrill,cubone,8,dig,focus energy,hyper beam,rock throw,toxic,wing attack,thunder shock,rage,true
jigglypuff,nidorina,-28,slash,rolling kick,bonemerang,spike cannon,peck,harden,cut,guillotine,false
paras,goldeen,8,confusion,bite,sand attack,low kick,rock slide,lovely kiss,drill peck,fire spin,true
horsea,graveler,-34,mirror move,headbutt,karate chop,withdraw,screech,jump kick,scratch,ice beam,false
gastly,ivysaur,-24,double-edge,haze,rolling kick,waterfall,ice beam,thunder shock,dragon rage,defense curl,false
kangaskhan,grimer,20,reflect,poison sting,pound,waterfall,poison gas,fury swipes,sludge,confusion,true
magmar,pidgeotto,-64,harden,bubble,cut,psybeam,solar beam,stomp,razor leaf,hydro pump,false
nidoqueen,krabby,-69,fissure,slash,ember,agility,mega punch,smog,skull bash,body slam,false
marowak,gyarados,19,hydro pump,counter,quick attack,recover,headbutt,skull bash,solar beam,teleport,true
pidgeot,hypno,7,surf,light screen,bubble beam,seismic toss,flamethrower,dragon rage,double-edge,jump kick,false
meowth,rhydon,53,waterfall,struggle,glare,supersonic,explosion,headbutt,strength,tackle,true
dragonair,nidoking,-10,leech seed,teleport,string shot,substitute,bite,dizzy punch,comet punch,ice punch,false
marowak,kabutops,-25,vice grip,ice beam,quick attack,night shade,acid,fire spin,mist,double slap,false
pidgey,chansey,8,string shot,pin missile,thunder wave,dig,poison sting,slash,ember,stomp,false
porygon,sandshrew,-14,rock throw,supersonic,mimic,vice grip,strength,disable,focus energy,earthquake,false
snorlax,cloyster,6,high jump kick,cut,ice beam,sleep powder,recover,dream eater,string shot,meditate,true
spearow,meowth,53,razor leaf,egg bomb,mega kick,solar beam,sing,waterfall,super fang,withdraw,true
staryu,venomoth,-24,surf,razor leaf,pin missile,bind,disable,fissure,ice punch,spike cannon,false
electabuzz,pidgeotto,72,seismic toss,withdraw,minimize,absorb,thunder shock,fire spin,high jump kick,poison sting,true
moltres,ninetales,-35,quick attack,tail whip,splash,rock slide,tri attack,hyper fang,skull bash,double-edge,false
victreebel,exeggcute,-31,double kick,minimize,bonemerang,absorb,ember,mega drain,ember,bide,false
hypno,bulbasaur,2,barrage,splash,hypnosis,bonemerang,fury attack,screech,ice punch,rolling kick,false
poliwag,zubat,1,blizzard,kinesis,earthquake,tackle,night shade,roar,mega punch,gust,true
cubone,magneton,-45,mega punch,seismic toss,tail whip,crabhammer,sonic boom,dragon rage,withdraw,tackle,true
magneton,golbat,-50,fly,stun spore,guillotine,spike cannon,night shade,struggle,confuse ray,hypnosis,false
weedle,rapidash,-32,take down,comet punch,blizzard,fury swipes,self-destruct,roar,razor leaf,psychic,false
squirtle,exeggcute,-65,confusion,ember,screech,fury attack,psychic,gust,egg bomb,seismic toss,false
articuno,arbok,-19,guillotine,slash,slam,sand attack,lovely kiss,thunder,bonemerang,dizzy punch,false
charmeleon,lickitung,10,drill peck,acid armor,acid armor,hypnosis,low kick,growth,soft-boiled,rock slide,true
slowpoke,gastly,41,rage,flash,rolling kick,lick,blizzard,double team,double slap,smog,true
primeape,magnemite,-34,agility,confuse ray,self-destruct,blizzard,acid armor,absorb,teleport,reflect,true
vulpix,wigglytuff,15,sharpen,egg bomb,blizzard,dizzy punch,metronome,sharpen,sleep powder,string shot,true
kadabra,squirtle,21,self-destruct,spore,bonemerang,slash,slash,focus energy,cut,wing attack,true
jynx,cloyster,0,scratch,drill peck,bubble,tackle,sleep powder,struggle,take down,rage,false
venonat,golbat,48,supersonic,amnesia,bonemerang,rest,hyper fang,ember,conversion,fire punch,true
primeape,pidgeot,40,tackle,solar beam,amnesia,jump kick,thrash,confuse ray,confusion,rest,true
dragonair,onix,-47,barrier,crabhammer,cut,drill peck,sing,comet punch,tail whip,focus energy,false
ponyta,krabby,2,poison gas,egg bomb,reflect,rolling kick,defense curl,scratch,leer,comet punch,true
nidoran♀,rhyhorn,-65,self-destruct,horn attack,fire punch,defense curl,thunder,confuse ray,waterfall,crabhammer,false
golbat,chansey,59,fire blast,recover,minimize,hyper fang,fire punch,spore,fire spin,bubble,true
koffing,growlithe,6,surf,bone club,mimic,bite,minimize,confusion,ice beam,super fang,false
nidoran♂,pinsir,17,fissure,fire blast,night shade,bonemerang,slam,leech life,roar,metronome,false
flareon,haunter,-48,thunder punch,waterfall,splash,minimize,tail whip,mimic,vice grip,pound,false
kingler,parasect,51,metronome,supersonic,fury swipes,ice beam,twineedle,headbutt,poison gas,sludge,true
